"Länderarbeitskreis Energiebilanzen"
"Vollständige Energiebilanz "
"Einheit: Terajoule"
" "
Land;Jahr;Bilanzzeile;Anm;Insgesamt;"Kohle (roh)";Briketts;Koks;"Andere Steinkohlen produkte";"Kohle (roh)";Briketts;"Koks, Hartbraun kohle, andere Braunkohlen produkte";"Erdöl (roh)";Rohbenzin;"Ottokraft stoffe";"Dieselkraft stoffe";"Flugturbinen kraftstoffe";"Heizöl leicht";"Heizöl schwer";Petrolkoks;"Andere Mineralöl produkte";Flüssiggas;Raffineriegas;"Kokereigas, Stadtgas";"Gichtgas, Konvertergas";"Erdgas, Erdölgas";"Grubengas, sonstige Gase";"Klärgas, Deponiegas";Wasserkraft;Windkraft;Solarenergie;"Biomasse 1)";"Sonstige erneuerbare Energien 2)";Strom;Kernenergie;Fernwärme;"Andere Energieträger";Stand
Baden-Württemberg;2017;Straßenverkehr;;318364.43158763;0;0;0;0;0;0;0;0;0;103524.10732358;198256.806121542;0;0;0;0;0;1328.014494;0;0;0;402.973448110353;0;0;0;0;0;14756.3302003975;0;96.2;0;0;0;05.03.2020
Baden-Württemberg;2017;Luftverkehr;;11378.1183549312;0;0;0;0;0;0;0;0;0;56.5615849381606;0;11321.556769993;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;05.03.2020
Baden-Württemberg;2017;"Küsten- und Binnenschifffahrt";;465.633867788088;0;0;0;0;0;0;0;0;0;0;442.268275671662;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23.3655921164263;0;0;0;0;0;05.03.2020
Baden-Württemberg;2017;"Verkehr insgesamt";;336233.427400776;0;0;0;0;0;0;0;0;0;103580.668908518;199704.229569195;11321.556769993;0;0;0;0;1328.014494;0;0;0;402.973448110353;0;0;0;0;0;14832.7994109603;0;5063.1848;0;0;0;05.03.2020
Baden-Württemberg;2017;Haushalte;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;05.03.2020
Baden-Württemberg;2017;"Gewerbe, Handel, Dienstleistungen u übrige Verbraucher";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;05.03.2020
Baden-Württemberg;2017;"Haushalte, Gewerbe, Handel und Dienstleistungen u übrige Verbraucher";;485990.430246351;91.59774;0;0;0;0;935.25232905;0;0;0;2202.64058135276;14916.5027521988;0;103158.52066582;0;0;166.801129460779;5106.34430532;0;0;0;158547.619369086;0;0;0;0;6019.2;31025.831711937437;9014.91750068424;126817.720301442;0;27987.48186;0;05.03.2020
Baden-Württemberg;2018;Gewinnung;LAK3);209402.925257258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.57308438914027;3046.536265326361;14186.320344;9291.42900527557;25478.5806;130556.5082836627;9886.13388460422;0;0;0;16952.84379;21.04.2022
Baden-Württemberg;2018;Bezüge;LAK3);1369902.08445096;147416.897094576;0;1532.64673;0;0;857.582070239899;6329.70907847701;609067.00161333;0;0;23933.9607436593;13593.3023615721;19153.9783292515;0.000000000000682121026;0.000000000000085265128;0;0;0;0;0;271147.289193174;0;0;0;0;0;12869.2396739359;0;38211.3248354749;225789.152727273;0;0;21.04.2022
Baden-Württemberg;2018;Bestandsentnahmen;LAK3);12843.222472;11901.80745;0;0;0;0;0.04985;46.48084;0;0;0;0;0;245.267789999999;410.55389;72.6344;0;0;0;0;0;0;0;0;0;0;0;67.08122;0;0;0;0;99.347032;21.04.2022
Baden-Württemberg;2018;Energieaufkommen;LAK3);1592148.23218022;159318.704544576;0;1532.64673;0;0;857.631920239899;6376.18991847701;609067.00161333;0;0;23933.9607436593;13593.3023615721;19399.2461192515;410.553889999999;72.6343999999999;0;0;0;0;0;271147.289193174;4.57308438914027;3046.536265326361;14186.320344;9291.42900527557;25478.5806;143492.82917759856;9886.13388460422;38211.3248354749;225789.152727273;0;17052.190822;21.04.2022
Baden-Württemberg;2018;Lieferungen;LAK3);163975.516827124;0;0;0;0;0;0;0;0;9684.9988880766;100950.828186333;0;0;0;19014.894888499;6311.404232;11253.8483176303;16759.5423145846;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21.04.2022
Baden-Württemberg;2018;Bestandsaufstockungen;LAK3);94.92996;0;0;19.14073;0;0;0;0;0;0;0;11.9221528661235;0;0;0;0;0.38933;6.24242999999999;0;0;0;0;0.01065;0;0;0;0;49.74458713387653;0;0;0;0;7.48008;21.04.2022
Baden-Württemberg;2018;Primärenergieverbrauch;LAK3);1428077.7853931;159318.704544576;0;1513.506;0;0;857.631920239899;6376.18991847701;609067.00161333;-9684.9988880766;-100950.828186333;23922.0385907931;13593.3023615721;19399.2461192515;-18604.340998499;-6238.769832;-11254.2376476303;-16765.7847445846;0;0;0;271147.289193174;4.56243438914027;3046.536265326361;14186.320344;9291.42900527557;25478.5806;143443.08459046466;9886.13388460422;38211.3248354749;225789.152727273;0;17044.710742000003;21.04.2022
Baden-Württemberg;2018;"Umw-Einsatz: Kokereien";LAK3);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21.04.2022
Baden-Württemberg;2018;"Umw-Einsatz: Steinkohlen- und Braunkohlenbrikettfabriken";LAK3);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21.04.2022
Baden-Württemberg;2018;"Umw-Einsatz: Wärmekraftwerke der allgemeinen Versorgung (ohne KWK)";"LAK3), LAK2)";146037.64801;130445.112;0;0;0;0;0;0;0;0;0;0;0;951.308;424.532;0;0;0;0;0;0;1683.753;0;27.524;0;0;0;9435.483509999998;0;0;0;0;3069.9355;21.04.2022
Baden-Württemberg;2018;"Umw-Einsatz: Heizkraftwerke der allgemeinen Versorgung (nur KWK)";LAK3);58919.152;25281.677;0;0;0;0;0;0;0;0;0;0;0;79.305;44.473;0;0;0;0;0;0;15250.393;0;89.46600000000001;0;0;0;12983.064;0;0;0;0;5190.773999999999;21.04.2022
Baden-Württemberg;2018;"Umw-Einsatz: Industriewärmekraftwerke";LAK3);24936.2143288204;797.504118448816;0;0;0;0;0;55.8522255831562;0;0;0;0;0;40.565253832686;228.664034538921;959.076086430979;0;723.455644949825;1024.21342926104;0;0;13347.1705717665;0;25.4512274153324;0;0;0;5733.137244589159;0;0;0;0;2001.124492003943;21.04.2022
Baden-Württemberg;2018;"Umw-Einsatz: Kernkraftwerke";LAK3);225789.152727273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;225789.152727273;0;0;21.04.2022
Baden-Württemberg;2018;"Umw-Einsatz: Wasserkraftwerke";LAK3);23352.100596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14186.320344;0;0;0;0;9165.780252;0;0;0;21.04.2022
Baden-Württemberg;2018;"Umw-Einsatz: Windkraft-, Fotovoltaik- und andere Anlagen";LAK3);54907.973193036;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2521.232075326361;0;9291.42900527557;18622.3068;24472.652512434113;0.3528;0;0;0;0;21.04.2022
Baden-Württemberg;2018;"Umw-Einsatz: Heizwerke";"LAK3), LAK2)";13370.26553;742.651;0;0;0;0;0;158.426;0;0;0;0;0;264.544;6.811;0;0;0;0;0;0;8865.46618;0;15.511050000000001;0;0;6.0768;2696.1551999999997;1.2168;168.74;0;0;444.6675;21.04.2022
